trade_date,open,high,low,close,vol,MA5,MA15,MA30,DIF,DEA,MACD,ATR,BOLL_MID,BOLL_UP,BOLL_LOW,RSI,K,D,J
2012-01-04,329.000000,329.000000,325.700000,327.310000,42436,,,,0.000000,0.000000,0.000000,,,,,,,,
2012-01-05,330.000000,332.070000,328.680000,331.950000,41158,,,,0.370142,0.074028,0.592228,,,,,,,,
2012-01-06,331.120000,333.640000,330.750000,333.440000,47759,,,,0.774782,0.214179,1.121206,,,,,,,,
2012-01-09,330.050000,330.770000,328.660000,330.340000,34741,,,,0.835685,0.338480,0.994409,,,,,,,,
2012-01-10,330.220000,332.730000,329.990000,332.250000,31920,331.058000,,,1.026242,0.476033,1.100419,,,,,,,,
2012-01-11,334.930000,336.360000,333.910000,336.260000,30915,332.848000,,,1.483730,0.677572,1.612315,,,,,,,,
2012-01-12,336.210000,337.660000,335.840000,337.070000,28024,333.872000,,,1.889867,0.920031,1.939672,,,,,,,,
2012-01-13,337.320000,337.320000,333.660000,336.740000,56611,334.532000,,,2.160204,1.168066,1.984277,,,,,,,,
2012-01-16,334.230000,336.440000,333.670000,335.230000,34115,335.510000,,,2.226933,1.379839,1.694188,,,,,,79.682274,79.682274,79.682274
2012-01-17,336.480000,340.150000,336.420000,339.840000,34506,337.028000,,,2.621585,1.628188,1.986793,,,,,,90.254111,86.025376,98.711580
2012-01-18,338.450000,339.350000,336.150000,338.720000,36283,337.520000,,,2.811565,1.864864,1.893402,,,,,,88.975298,87.422708,92.080479
2012-01-19,339.090000,341.160000,339.090000,340.750000,24303,338.256000,,,3.090306,2.109952,1.960707,,,,,,92.192328,89.403935,97.769115
2012-01-20,339.220000,339.760000,337.990000,339.700000,28676,338.848000,,,3.189715,2.325905,1.727621,,,,,,90.171914,89.698751,91.118240
2012-01-30,354.090000,354.890000,352.770000,353.350000,30334,342.472000,,,4.320138,2.724751,3.190774,4.295000,,,,82.339791,91.112562,90.215377,92.906931
2012-01-31,354.330000,355.770000,354.130000,355.100000,28320,345.524000,337.870000,,5.296167,3.239034,4.114264,4.232143,,,,83.075458,93.186312,91.267252,97.024431
2012-02-01,354.990000,355.900000,354.060000,354.140000,28190,348.608000,339.658667,,5.923925,3.776012,4.295825,4.023571,,,,78.945995,92.804764,91.800565,94.813162
2012-02-02,357.130000,357.900000,356.130000,356.900000,30894,351.838000,341.322000,,6.568420,4.334494,4.467852,4.085714,,,,79.621212,93.854785,92.503592,96.557169
2012-02-03,358.520000,358.910000,358.130000,358.620000,22304,355.622000,343.000667,,7.135720,4.894739,4.481962,3.887857,,,,86.996337,95.507122,93.522437,99.476491
2012-02-06,353.170000,354.690000,353.130000,353.380000,29754,355.628000,344.536667,,7.080862,5.331964,3.497797,4.084286,,,,75.427196,88.828533,91.939502,82.606594
2012-02-07,351.340000,352.690000,351.160000,352.690000,28638,355.146000,345.899333,,6.902146,5.646000,2.512291,3.949286,342.189000,362.519078,321.858922,71.488360,82.593529,88.799980,70.180625
2012-02-08,356.270000,357.930000,356.270000,357.790000,31227,355.876000,347.334667,,7.090306,5.934861,2.310890,4.193571,343.713000,363.916113,323.509887,74.365005,86.631859,88.073541,83.748497
2012-02-09,353.570000,355.210000,352.480000,355.190000,31489,355.534000,348.542667,,6.949517,6.137792,1.623449,4.311429,344.875000,364.902013,324.847987,70.596115,75.048227,83.716845,57.710989
2012-02-10,353.210000,354.190000,352.950000,353.250000,25173,354.460000,349.643333,,6.605257,6.231285,0.747944,4.252143,345.865500,365.466228,326.264772,69.924812,58.984715,75.453932,26.046280
2012-02-13,351.940000,353.300000,351.540000,352.680000,23928,354.320000,350.806667,,6.214795,6.227987,-0.026385,4.026429,346.982500,365.366349,328.598651,65.590092,45.840767,65.567826,6.386648
2012-02-14,351.590000,351.930000,350.040000,350.450000,23040,353.872000,351.514000,,5.660161,6.114422,-0.908522,3.951429,347.892500,364.960494,330.824506,63.868527,32.087326,54.396321,-12.530663
2012-02-15,351.310000,352.780000,351.310000,352.260000,24791,352.766000,352.416667,,5.305503,5.952638,-1.294270,3.943571,348.692500,364.945195,332.439805,63.679582,29.732686,46.169543,-3.141028
2012-02-16,352.430000,352.430000,350.060000,350.860000,35739,351.900000,353.090667,,4.855495,5.733210,-1.755430,3.915714,349.382000,364.701890,334.062110,63.154173,23.283182,38.537313,-7.225080
2012-02-17,353.040000,354.110000,353.040000,353.420000,29358,351.934000,354.005333,,4.651807,5.516929,-1.730243,3.062857,350.216000,364.413068,336.018932,50.111714,29.803761,35.625253,18.160777
2012-02-20,354.190000,354.690000,353.820000,353.830000,20580,352.164000,354.037333,,4.471918,5.307927,-1.672018,2.980714,351.146000,363.530857,338.761143,47.882628,35.882222,35.710927,36.224813
2012-02-21,354.010000,355.860000,353.440000,355.680000,26223,353.210000,354.076000,345.973000,4.427595,5.131860,-1.408531,3.022143,351.938000,363.258810,340.617190,52.493523,56.226606,42.550401,83.579017
2012-02-22,358.340000,358.530000,357.890000,358.310000,17910,354.420000,354.354000,347.006333,4.552213,5.015931,-0.927436,2.957143,352.917500,362.709677,343.125323,52.292683,69.955199,51.686148,106.493303
2012-02-23,361.820000,362.560000,361.420000,362.540000,25240,356.756000,354.730000,348.026000,4.935407,4.999826,-0.128839,3.117143,354.007000,362.907221,345.106779,55.892965,79.917477,61.097150,117.558130
2012-02-24,362.490000,363.150000,361.960000,362.280000,23105,358.528000,354.974000,348.987333,5.158645,5.031590,0.254110,2.810000,355.136000,361.856365,348.415635,65.735502,84.399777,68.865000,115.469331
