trade_date,open,high,low,close,vol
2012/1/4,329,329,325.7,327.31,42436
2012/1/5,330,332.07,328.68,331.95,41158
2012/1/6,331.12,333.64,330.75,333.44,47759
2012/1/9,330.05,330.77,328.66,330.34,34741
2012/1/10,330.22,332.73,329.99,332.25,31920
2012/1/11,334.93,336.36,333.91,336.26,30915
2012/1/12,336.21,337.66,335.84,337.07,28024
2012/1/13,337.32,337.32,333.66,336.74,56611
2012/1/16,334.23,336.44,333.67,335.23,34115
2012/1/17,336.48,340.15,336.42,339.84,34506
2012/1/18,338.45,339.35,336.15,338.72,36283
2012/1/19,339.09,341.16,339.09,340.75,24303
2012/1/20,339.22,339.76,337.99,339.7,28676
2012/1/30,354.09,354.89,352.77,353.35,30334
2012/1/31,354.33,355.77,354.13,355.1,28320
2012/2/1,354.99,355.9,354.06,354.14,28190
2012/2/2,357.13,357.9,356.13,356.9,30894
2012/2/3,358.52,358.91,358.13,358.62,22304
2012/2/6,353.17,354.69,353.13,353.38,29754
2012/2/7,351.34,352.69,351.16,352.69,28638
2012/2/8,356.27,357.93,356.27,357.79,31227
2012/2/9,353.57,355.21,352.48,355.19,31489
2012/2/10,353.21,354.19,352.95,353.25,25173
2012/2/13,351.94,353.3,351.54,352.68,23928
2012/2/14,351.59,351.93,350.04,350.45,23040
2012/2/15,351.31,352.78,351.31,352.26,24791
2012/2/16,352.43,352.43,350.06,350.86,35739
2012/2/17,353.04,354.11,353.04,353.42,29358
2012/2/20,354.19,354.69,353.82,353.83,20580
2012/2/21,354.01,355.86,353.44,355.68,26223
2012/2/22,358.34,358.53,357.89,358.31,17910
2012/2/23,361.82,362.56,361.42,362.54,25240
2012/2/24,362.49,363.15,361.96,362.28,23105
2012/2/27,361.59,362.84,360.88,360.96,20707
2012/2/28,360.47,362,360.32,361.91,20978
2012/2/29,364.22,364.94,363.9,364.78,19413
2012/3/1,348.86,351.69,348.86,349.9,52847
2012/3/2,350.87,351.79,350.44,350.53,24181
2012/3/5,349.73,350.42,348.67,348.88,26183
2012/3/6,348.5,348.92,346.78,346.83,25192
2012/3/7,341.99,342.63,341.26,341.34,27653
2012/3/8,343.67,344.74,343.38,344.67,17687
2012/3/9,346.74,348.31,346.35,347.78,23504
2012/3/12,349.23,349.67,347.32,347.98,27753
2012/3/13,347.45,348.17,347.39,347.62,18188
2012/3/14,342.7,343.36,341.21,341.42,35963
2012/3/15,335.29,338.16,335.26,337.43,36549
2012/3/16,339.24,341.01,339.23,340.8,25491
2012/3/19,340.42,341.39,340.15,340.99,19196
2012/3/20,341.11,341.33,338.44,338.59,28165
2012/3/21,338.82,339.47,337.63,338.65,24562
2012/3/22,338.47,339.23,337.39,338.06,23977
2012/3/23,337.66,338.02,336.31,337.23,27033
2012/3/26,340.81,342.79,340.15,340.77,20848
2012/3/27,345.65,345.94,345.07,345.84,22570
2012/3/28,344.16,344.19,342.38,342.43,18328
2012/3/29,340.21,340.21,338.66,340.03,22579
2012/3/30,340.05,340.46,339.77,340.34,17465
2012/4/5,332.03,333.5,332.03,333.18,22837
2012/4/6,333.93,334.47,332.84,334.47,14773
2012/4/9,335.81,336.82,334.81,336.49,23840
2012/4/10,336.78,339.47,336.78,337.66,41095
2012/4/11,339.12,340.05,338.7,340.02,29685
2012/4/12,339.73,339.79,338.96,339.32,19893
2012/4/13,342.78,342.99,342.09,342.54,22421
2012/4/16,338.2,338.42,335.58,335.75,32931
2012/4/17,337.56,337.63,336.2,336.2,21938
2012/4/18,337.45,338.38,337.1,338.3,26365
2012/4/19,335.75,335.92,334.98,335.84,23100
2012/4/20,335.76,336.93,335.69,336.22,19847
2012/4/23,335.62,336.39,335.62,335.87,15608
2012/4/24,335.28,335.92,334.78,335.02,22492
2012/4/25,336.45,336.49,335.94,336.17,14630
2012/4/26,336.45,337.94,336.42,337.93,22570
2012/4/27,339.26,339.31,338.14,338.15,21211
2012/5/2,339.86,339.89,337.92,338.11,21924
2012/5/3,337.83,338.06,335.77,335.87,18077
2012/5/4,334.52,335.02,334.17,334.52,18195
2012/5/7,335.32,335.74,334.17,335.26,25101
2012/5/8,334.89,335.24,333.49,333.58,22986
2012/5/9,328.01,328.37,325.55,325.91,38792
2012/5/10,326.36,326.82,325.81,326.41,23399
2012/5/11,326,326.04,323.91,324.17,31382
2012/5/14,324.6,324.91,322.59,322.89,27340
2012/5/15,318.98,319.28,317.31,318.91,36146
2012/5/16,315.79,316.77,313.74,313.96,37375
2012/5/17,316.96,318.95,316.54,318.32,31715
2012/5/18,322.99,323.74,321.5,323.18,38137
2012/5/21,326.97,327.97,326.95,327.52,25000
2012/5/22,326.45,327.02,325.15,325.25,21027
2012/5/23,319.62,320.53,318.92,320.01,31868
2012/5/24,320.26,321.46,319.29,321.39,32712
2012/5/25,320.32,322.75,318.84,321.73,39352
2012/5/28,323.76,326.61,323.64,326.28,26486
2012/5/29,324.48,325.95,324.14,325.48,24559
2012/5/30,320.3,320.78,318.88,319.85,31767
2012/5/31,322.63,324.41,322.49,322.94,32166
2012/6/1,321.38,322.88,320.69,322.61,25833
2012/6/4,333.49,337.03,333.02,335.66,54024
2012/6/5,335.1,336.03,333.65,334.35,31757
2012/6/6,336.93,337.21,335.56,336.34,36758
2012/6/7,335.46,335.58,333.88,334.68,33341
2012/6/8,327.02,327.71,322.7,324.92,45632
2012/6/11,330.94,331.12,329.13,329.84,29778
2012/6/12,328.59,329.17,327.75,328.33,24049
2012/6/13,330.98,332.68,330.86,332.59,26276
2012/6/14,333.39,335,333.09,333.6,21407
2012/6/15,334.41,335.65,334.4,335.24,25270
2012/6/18,335.73,336.4,333.31,333.5,29399
2012/6/19,335.56,336.18,335.14,335.5,18962
2012/6/20,333.32,334.15,332.93,333.49,17224
2012/6/21,329.31,330.7,328.75,330.14,22968
2012/6/25,325,325.58,324.56,325.12,20660
2012/6/26,327.6,327.73,326.45,326.9,14046
2012/6/27,325,325.42,323.82,324.34,17541
2012/6/28,326.01,326.41,325.08,325.39,17697
2012/6/29,321.34,325.11,321.11,324.51,28846
2012/7/2,329.2,329.21,327.74,328.1,20707
2012/7/3,329.2,331.78,328.89,331.72,23274
2012/7/4,333.34,333.83,332.79,333.29,17805
2012/7/5,333.31,333.99,332.56,333.79,19361
2012/7/6,331.75,331.8,330.4,330.59,19342
2012/7/9,326.99,327.5,326.5,326.9,19918
2012/7/10,327.5,328.36,327.08,327.29,16691
2012/7/11,325,326.35,324.9,326.1,20723
2012/7/12,325.92,326.07,324.2,324.7,24925
2012/7/13,324.7,326.94,324.64,326.44,24714
2012/7/16,328.23,329.24,326.84,328.82,23304
2012/7/17,329.74,330.36,328.76,329.64,22631
2012/7/18,328.04,328.34,326.2,327.13,22178
2012/7/19,326.17,327.67,326.17,326.95,22999
2012/7/20,327.3,327.65,326.94,327.5,20381
2012/7/23,326.73,327.2,325.61,326.14,25102
2012/7/24,326.38,327.19,326.05,326.5,24328
2012/7/25,327,328.63,327,327.49,32957
2012/7/26,331.73,333.18,331.2,332.87,32727
2012/7/27,333.88,335.47,333.43,335.29,27045
2012/7/30,335.71,335.85,334.01,334.45,24467
2012/7/31,334.97,336.26,334.96,335.58,23414
2012/8/1,333.27,334.34,332.86,334.12,18337
2012/8/2,331,331.98,330.57,331.48,18760
2012/8/3,329.01,329.93,329.01,329.85,16132
2012/8/6,332.11,333.27,332.1,332.9,18112
2012/8/7,333.75,333.95,333.07,333.68,14908
2012/8/8,333.42,333.79,332.45,332.55,15730
2012/8/9,333.82,334.99,333.82,334.81,18809
2012/8/10,334.39,334.52,333.41,334,16069
2012/8/13,335.08,336.49,334.95,336.01,25493
2012/8/14,333.74,334.27,333.21,334.03,19993
2012/8/15,331.28,331.91,330.91,331.15,16986
2012/8/16,332.48,332.84,331.52,331.71,16601
2012/8/17,334.7,335.37,334.43,335.28,15786
2012/8/20,334.73,335.42,334.46,335.12,13000
2012/8/21,335.27,336.39,335.27,336.29,15396
2012/8/22,338.81,339.79,338.8,339.52,19609
2012/8/23,342.49,346.35,342.49,345.98,43655
2012/8/24,345.96,345.97,344.36,344.78,25968
2012/8/27,346.79,348.27,346.34,346.61,23865
2012/8/28,343.72,343.98,343.13,343.85,18441
2012/8/29,344.34,345.83,344.34,345.5,19604
2012/8/30,342.62,343.93,342.5,343.38,19393
2012/8/31,342.97,343.58,342.21,343.38,20289
2012/9/3,349.75,350.73,349.53,349.7,27955
2012/9/4,351.29,351.82,350.16,350.32,24274
2012/9/5,349.99,350.6,349.66,350.15,18143
2012/9/6,350.19,354.01,350.19,352.63,41026
2012/9/7,350.98,351.38,348.66,349.63,34677
2012/9/10,358.41,359.57,357.98,358.2,27690
2012/9/11,357.2,357.96,356.6,357.77,21523
2012/9/12,358.71,358.71,357.54,357.89,18503
2012/9/13,357.5,357.5,356.04,356.12,18263
2012/9/14,365.21,366.31,364.95,365.24,44098
2012/9/17,364.96,365.92,364.14,364.49,23084
2012/9/18,361.27,362.17,360.75,361.98,21925
2012/9/19,364.01,366.41,362.77,365.64,37261
2012/9/20,364.14,364.71,361.92,362.17,27536
2012/9/21,364.64,364.8,363.56,364.02,23458
2012/9/24,362.31,362.41,359.38,360.58,29044
2012/9/25,362.28,362.38,360.82,361.35,18373
2012/9/26,360.49,361.85,360.49,361.38,17026
2012/9/27,359.51,361.25,359.51,360.69,20875
2012/9/28,365.46,366.02,364.63,365.95,19549
2012/10/8,364.63,364.64,360.65,361.82,23542
2012/10/9,363.34,363.67,362.41,362.43,19353
2012/10/10,359.62,360.51,359.15,360.33,19011
2012/10/11,359.55,360.76,359.24,360.4,17029
2012/10/12,360.97,361.53,360.57,360.8,15172
2012/10/15,355.56,355.56,354.09,355.21,19265
2012/10/16,353.23,354.85,353.23,354.75,17217
2012/10/17,356.22,357.25,356.14,356.18,18662
2012/10/18,356.04,356.59,355.5,355.83,16328
2012/10/19,354.18,354.66,352.12,352.83,21030
2012/10/22,350.74,351.33,349.82,351.33,13479
2012/10/23,351.03,351.9,350.36,350.9,16860
2012/10/24,348.67,349.86,346.54,348.71,25180
2012/10/25,348.23,349.78,347.4,349.33,27967
2012/10/26,349.29,349.46,345.98,346.71,25098
2012/10/29,348.54,349.64,348.25,348.99,24263
2012/10/30,348.21,348.55,347.63,348.4,23890
2012/10/31,348.22,349.08,348.02,348.68,17949
2012/11/1,349.88,350.76,349.53,350.53,21759
2012/11/2,349.13,349.23,346.06,346.87,25945
2012/11/5,341.92,341.92,340.74,341.09,21707
2012/11/6,341.81,343.22,341.81,342.96,17209
2012/11/7,347.31,351.28,346.82,350.83,37315
2012/11/8,348.54,349.77,348.38,349.57,21667
2012/11/9,352.02,353.73,352.02,353.38,25105
2012/11/12,353.24,353.49,351.91,352.53,17286
2012/11/13,350.09,350.75,349.36,350.35,19430
2012/11/14,350.91,353.05,350.69,351.4,17150
2012/11/15,350.58,351.2,350.08,350.4,14162
2012/11/16,349.04,349.19,347.94,348.23,19241
2012/11/19,349.45,350.86,349.35,350.67,19083
2012/11/20,352.53,353.17,352.53,352.58,17420
2012/11/21,351.46,351.69,349.44,350.88,13772
2012/11/22,352.48,352.77,351.97,351.97,13330
2012/11/23,352,352.84,351.76,352.8,12866
2012/11/26,356.54,356.54,355.72,356.15,19063
2012/11/27,356.5,356.71,355.9,355.96,13304
2012/11/28,354.4,354.69,353.32,353.7,17636
2012/11/29,350.35,350.63,349.41,349.47,18643
2012/11/30,350.84,352.01,350.45,351.9,17051
2012/12/3,349.35,349.5,348.14,348.96,20146
2012/12/4,347.94,347.99,344.44,345.26,27750
2012/12/5,344.15,346.22,344.15,346.13,21335
2012/12/6,344.06,344.61,342.68,343.35,27343
2012/12/7,345.84,346.31,345.5,346.02,19492
2012/12/10,346.83,347.29,346.39,346.97,15101
2012/12/11,347.1,347.59,346.85,347.44,15273
2012/12/12,347.53,348.33,347.35,348.15,15018
2012/12/13,346.7,346.7,343.64,344.77,30672
2012/12/14,343.93,345.58,343.93,345.21,20639
2012/12/17,343.68,344.33,343.17,343.68,22467
2012/12/18,345.43,348.04,345.43,347.35,30659
2012/12/19,341.5,341.97,340.87,341.82,26795
2012/12/20,340.1,341.05,339.7,340.73,20495
2012/12/21,336.01,336.4,333.53,335.89,32015
2012/12/24,337.18,339.23,336.61,338.79,23190
2012/12/25,337.25,338.77,337.1,337.22,17442
2012/12/26,336.71,337.7,336.58,337.36,13265
2012/12/27,336.99,338.97,336.79,337.93,18497
2012/12/28,339.17,340.08,339.03,339.17,18423
2012/12/31,338.65,340.49,338.26,340.24,18177
2013/1/4,337.15,337.15,335.36,336.8,31791
2013/1/7,337.97,339.47,337.95,338.51,22607
2013/1/8,336.97,337.27,336.18,336.5,16273
2013/1/9,338.5,339.51,338.21,339.28,18921
2013/1/10,337.47,339.04,337.25,338.65,14831
2013/1/11,341.69,341.86,340.79,341.36,18272
2013/1/14,338.98,340.38,338.98,340.31,14421
2013/1/15,340.62,341.74,339.87,340.87,23805
2013/1/16,343.5,343.6,342.61,343.5,19594
2013/1/17,342.52,342.84,341.68,342.48,17122
2013/1/18,344,344.48,343.81,344.27,14510
2013/1/21,343.69,344.4,343.69,344.07,10758
2013/1/22,344.21,345.6,344.11,345.5,14473
2013/1/23,345.11,345.36,344.45,344.81,10237
2013/1/24,342,342.69,341.2,341.74,19202
2013/1/25,338.51,340.2,338.51,340.11,14205
2013/1/28,337.8,338.64,337.8,338.48,14082
2013/1/29,338.02,339.1,337.83,339.08,14012
2013/1/30,339.36,339.83,338.92,339.51,11517
2013/1/31,341.78,342.05,341.19,341.32,13025
2013/2/1,338.21,338.79,337.97,338.68,12354
2013/2/4,339.2,340.75,338.9,340.17,15962
2013/2/5,340.9,341.95,340.81,341.86,13134
2013/2/6,340.92,341.12,340.13,340.85,12470
